"participation","income","age","educ","youngkids","oldkids","foreign","agesq"
1,42.3107301197554,36,10,0,0,0,1296
0,37.7968483066282,40,11,0,2,0,1600
0,84.1027883008981,48,10,0,1,0,2304
1,74.9246334539457,35,16,0,2,0,1225
0,66.7802728971849,32,12,1,1,0,1024
0,52.3860178615932,32,12,1,0,0,1024
0,72.1644628922167,49,8,0,0,0,2401
1,26.6959994545684,43,11,0,1,0,1849
0,236.960798674641,39,12,0,4,0,1521
0,35.3295852157566,27,11,1,1,0,729
0,215.67501640321,42,12,0,3,0,1764
0,37.6845697800355,56,12,0,1,0,3136
0,54.1360715725999,31,13,0,3,0,961
1,42.561867402866,37,4,0,2,0,1369
0,34.2596652170917,38,8,0,1,0,1444
0,33.1121313413737,51,8,0,0,0,2601
0,44.0981010316057,50,9,0,0,0,2500
0,19.6557265043676,60,5,0,0,0,3600
1,35.5749493783033,35,9,0,2,0,1225
1,64.3445811200614,35,11,0,2,0,1225
1,34.73055062288,45,8,0,2,0,2025
0,42.5045326579069,24,11,2,0,0,576
0,34.6322982132172,35,8,1,1,0,1225
1,33.125941979461,32,17,1,0,0,1024
1,28.0578295403475,33,12,0,2,0,1089
0,39.9041656626074,46,8,0,1,0,2116
0,128.548044423057,50,5,0,2,0,2500
0,50.4278055827265,32,12,0,0,0,1024
0,28.4461754517662,58,8,0,0,0,3364
0,44.5201867444519,41,8,0,2,0,1681
0,55.0089401947276,34,6,0,2,0,1156
0,37.152338660688,21,4,1,0,0,441
0,28.8921439064774,56,13,0,0,0,3136
0,27.6241867645664,34,8,0,3,0,1156
0,28.7361732469373,37,10,0,1,0,1369
0,60.8942480414437,31,12,0,1,0,961
0,40.4533201716693,22,11,1,0,0,484
0,44.8716737284305,32,11,1,1,0,1024
1,50.5976291786,41,8,0,3,0,1681
0,47.0768193179489,37,12,0,4,0,1369
0,39.8071570307823,29,10,0,0,0,841
1,40.7840356201129,46,9,0,1,1,2116
1,32.5768763091119,26,7,2,0,1,676
1,48.8003615194867,44,9,0,0,1,1936
1,32.2253922512942,48,4,0,0,1,2304
1,38.7413196246065,34,4,0,3,1,1156
0,44.2795843534472,34,12,1,2,1,1156
0,40.5441182621201,48,5,0,0,1,2304
1,43.6638147363063,28,6,1,2,1,784
1,41.2285806527812,32,5,0,2,1,1024
1,33.1781896243505,50,4,0,3,1,2500
1,37.9469344156626,36,5,2,1,1,1296
1,75.3327314535688,50,12,0,0,1,2500
0,36.4501553707596,25,11,2,0,1,625
1,44.193455875992,30,11,3,0,1,900
1,33.5736563086708,25,5,0,2,1,625
1,39.8572659462265,32,8,1,1,1,1024
1,37.4617615605294,29,10,1,1,1,841
0,39.5926985423991,44,7,0,2,1,1936
1,34.4629116455777,40,5,0,3,1,1600
0,41.4962358626381,52,12,0,0,1,2704
1,40.909394089609,27,8,2,1,1,729
1,49.7563812155201,32,8,0,1,1,1024
0,41.510097920251,30,12,2,0,1,900
1,36.1463769543007,40,5,0,1,1,1600
1,43.9527292429073,47,4,0,0,1,2209
1,32.5091218095451,48,4,0,1,1,2304
1,36.5508967587477,36,6,0,1,1,1296
1,49.3171909470339,38,10,0,1,1,1444
1,40.363129051779,38,3,0,1,1,1444
0,34.1868381649755,48,11,0,0,1,2304
1,33.6075492239866,41,7,0,0,1,1681
1,34.0961243027046,39,4,0,2,1,1521
0,41.3954810303744,31,9,2,0,1,961
0,56.695039550109,32,7,0,2,1,1024
0,54.33517031349,41,4,1,1,1,1681
1,44.6295288157587,36,5,0,2,1,1296
1,38.8735752775132,38,3,0,3,1,1444
1,28.425360470548,57,3,0,0,1,3249
1,39.2558202954824,34,8,0,2,1,1156
1,38.6628318419196,42,5,0,3,1,1764
1,54.0551445580272,32,11,0,0,1,1024
1,26.4148333324836,48,5,0,2,1,2304
1,32.5839462583327,22,9,2,0,1,484
0,38.2259926856642,31,8,0,2,1,961
1,39.0970384446022,26,4,0,0,1,676
1,43.8394335197559,43,11,0,1,1,1849
1,35.8410441387443,44,4,0,2,1,1936
1,24.5427555484753,45,4,0,1,1,2025
1,41.7046536549376,29,5,1,1,1,841
1,31.83835582618,46,4,0,0,1,2116
1,43.4166375363723,31,5,1,1,1,961
1,40.0949231282906,21,11,0,0,1,441
1,70.6291339117886,41,12,0,1,1,1681
0,40.7102018611566,28,8,1,2,1,784
0,44.5949543302701,39,2,1,0,1,1521
1,33.963238565569,45,3,0,1,1,2025
0,30.3833791684887,49,4,0,1,1,2401
1,39.1158877594525,42,10,0,2,1,1764
0,16.9393229521199,59,4,0,0,1,3481
1,40.1241629838836,54,5,0,0,1,2916
1,29.0672968031085,33,7,0,3,1,1089
0,35.3411045380845,24,9,1,1,1,576
1,31.241324480565,35,5,0,0,1,1225
1,38.5328729956009,49,8,0,0,1,2401
0,39.6480878430615,48,5,1,2,1,2304
1,31.6808602526691,41,5,0,0,1,1681
1,33.5906152868883,37,5,0,2,1,1369
1,35.3411045380845,38,9,0,4,1,1444
1,38.6244200808767,42,7,0,1,1,1764
0,107.740625299507,46,11,0,1,1,2116
1,34.9231076706962,33,5,0,2,1,1089
0,109.149742190396,55,15,0,0,1,3025
1,35.0447466629087,50,5,0,2,1,2500
1,32.1974327470004,22,6,1,0,1,484
0,36.3693985186034,40,5,0,2,1,1600
0,36.5637649390736,47,5,0,1,1,2209
1,41.2900983165562,50,10,0,0,1,2500
1,40.5487000063474,28,8,0,2,1,784
0,40.6456053637946,39,5,0,3,1,1521
1,44.2226774069781,36,12,0,2,1,1296
1,44.8187563808062,39,4,0,2,1,1521
1,34.1004547854708,48,4,0,0,1,2304
0,38.8797566673898,29,5,2,0,1,841
1,38.4890475275529,46,5,0,0,1,2116
1,32.1754494085988,58,5,0,0,1,3364
0,35.4580292011527,25,5,1,0,1,625
0,40.2702797226132,29,5,1,2,1,841
1,35.9886899492237,21,11,0,0,1,441
1,40.1380082082769,31,5,0,1,1,961
1,37.6645645853316,35,4,0,2,1,1225
1,50.5836155762911,30,5,0,2,1,900
1,34.9473177721433,31,8,1,0,1,961
1,36.0056086090735,34,12,1,1,1,1156
1,34.3570666024889,28,11,3,0,1,784
1,37.4584650705598,41,2,0,2,1,1681
0,77.2408699943606,59,8,0,0,1,3481
1,41.9511867027747,27,9,1,2,1,729
0,68.4669892954725,54,16,0,0,1,2916
0,70.5133265489685,40,11,1,1,1,1600
1,46.5441684553758,35,7,0,1,1,1225
1,33.6617346204042,39,5,0,3,1,1521
0,31.5165473631196,43,5,0,2,1,1849
1,38.0529922444705,36,8,0,2,1,1296
1,26.0448413817633,46,4,0,0,1,2116
1,27.7893741001998,44,4,0,0,1,1936
1,33.3568690950014,44,6,0,0,1,1936
1,12.5780561595942,29,1,2,0,1,841
1,37.2738765621123,32,10,1,2,1,1024
1,26.087929106761,55,5,0,0,1,3025
1,32.976616553741,34,5,0,2,1,1156
1,32.0717865832839,37,8,1,1,1,1369
1,36.9762095615502,26,5,0,1,1,676
0,72.9629458378394,38,12,0,1,1,1444
0,32.4549417930623,45,8,0,1,1,2025
0,39.8211317953279,34,8,0,2,1,1156
1,38.3321788014243,36,6,0,2,1,1296
1,39.8088289664881,26,10,0,2,1,676
1,33.0604505654123,40,5,1,1,1,1600
0,43.4835941516379,40,9,0,1,1,1600
0,10.7406726880706,57,5,0,0,1,3249
0,37.4176950054276,25,8,2,0,1,625
1,37.2146581894606,30,8,0,1,1,900
1,42.0076910189506,25,7,1,1,1,625
1,40.5520656881218,43,2,0,2,1,1849
0,80.23250411785,46,10,0,1,1,2116
0,36.8385452035225,26,7,1,1,1,676
1,31.7011741940137,23,4,1,0,1,529
1,43.3982327841401,32,8,0,2,1,1024
1,43.3330975672916,34,13,0,2,1,1156
1,34.6102790743819,33,3,1,1,1,1089
1,36.0948328598451,25,6,0,1,1,625
1,56.0357410965705,39,11,0,2,1,1521
1,27.4589653453116,32,9,1,0,1,1024
1,29.1189661910661,47,5,0,0,1,2209
1,32.111933494957,46,9,0,1,1,2116
1,38.104512788766,41,8,0,2,1,1681
1,34.8143870045787,25,5,2,1,1,625
1,36.5978582530133,39,10,0,1,1,1521
1,35.3857331667531,51,3,0,0,1,2601
1,30.5129969092253,51,10,0,0,1,2601
1,32.8282597115554,49,16,0,0,1,2401
1,30.9423476885742,35,8,1,2,1,1225
0,37.1554224327716,27,7,1,1,1,729
0,24.6896893439989,47,4,0,1,1,2209
0,37.1292742206296,30,8,3,0,1,900
0,33.3356942068646,32,5,2,1,1,1024
1,36.023291703745,34,8,0,3,1,1156
1,26.9797267004123,41,4,0,0,1,1681
1,35.0758100675083,26,6,1,2,1,676
0,40.2695145945673,33,8,2,0,1,1089
1,13.9929932336065,49,6,0,3,1,2401
0,33.544023854804,41,6,0,3,1,1681
1,60.046707698392,37,9,0,2,1,1369
1,34.4070237053084,40,3,0,2,1,1600
1,30.2148861260538,50,6,0,1,1,2500
1,32.8906269162425,29,8,0,2,1,841
0,16.3415300117429,26,4,1,1,1,676
1,35.6464556449201,31,8,0,1,1,961
1,24.5821537172594,32,5,0,1,1,1024
1,42.4653190741165,44,5,0,1,1,1936
0,37.32389436002,23,8,1,0,1,529
0,28.2712311658685,24,8,1,0,1,576
0,46.300498187239,27,8,1,1,1,729
1,34.2054750698708,28,8,0,1,1,784
0,33.5778868558846,52,4,0,1,1,2704
0,38.9736088540629,47,12,0,2,1,2209
0,44.1457527079934,42,8,0,2,1,1764
1,31.7147134858276,42,5,0,1,1,1764
1,30.5747871817601,47,4,0,0,1,2209
1,26.3165947955356,36,5,0,1,1,1296
1,27.6301266032306,41,8,0,0,1,1681
0,33.4483253490608,38,3,1,1,1,1444
0,95.4595617861589,36,13,0,2,1,1296
1,31.661857437932,25,8,1,0,1,625
0,33.2738805392445,47,5,0,1,1,2209
1,33.4340793970653,44,7,0,1,1,1936
0,35.7256429558247,44,2,0,1,1,1936
1,34.6077526162264,47,8,0,0,1,2209
1,26.5643667275671,20,5,1,0,1,400
0,37.8530183222778,41,8,0,1,1,1681
0,46.488488416886,50,7,0,1,1,2500
1,34.293324732452,36,4,1,1,1,1296
1,29.9684068278352,20,8,0,0,1,400
0,36.6793791459881,28,6,2,0,1,784
1,29.8091895763206,44,7,0,0,1,1936
1,36.5947475672678,35,9,0,2,1,1225
1,42.7406612410771,46,15,0,1,1,2116
1,42.4777632355859,26,9,1,0,1,676
1,38.3439102429565,31,8,0,2,1,961
0,36.3448211133038,49,5,0,1,1,2401
0,30.2529808772259,55,5,0,0,1,3025
1,45.6408761149438,40,4,0,1,1,1600
0,22.2573818252787,57,6,0,1,1,3249
1,35.4157529950868,51,5,0,2,1,2601
1,85.548692864131,56,3,0,0,1,3136
1,35.7295015336234,33,2,1,3,1,1089
1,46.7468428585976,41,5,0,2,1,1681
0,38.5359557487491,32,12,1,0,1,1024
0,27.3324248546249,25,11,1,0,1,625
1,106.302384938471,47,13,0,0,1,2209
1,49.3180786644605,31,16,2,0,1,961
0,56.7175519492259,33,14,0,2,1,1089
1,32.2059339913605,28,5,0,2,1,784
1,47.8370632583455,38,11,0,0,1,1444
1,37.3802960130349,34,9,1,1,1,1156
1,35.1905901301411,33,6,0,2,1,1089
0,66.9000504348373,35,10,1,1,1,1225
0,35.2903558425339,51,9,0,1,1,2601
0,25.5272809384935,41,5,1,0,1,1681
1,44.0565801798255,35,9,0,2,1,1225
1,22.642750195367,42,14,0,0,1,1764
0,40.0303421784381,24,4,2,1,1,576
1,32.1373119455861,48,8,0,0,1,2304
0,25.1783556083701,24,6,2,0,1,576
1,55.9576816935265,41,10,0,1,1,1681
0,74.6593465435559,51,10,0,0,1,2601
